Booking_ID,room_type_reserved,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests
INN11623,Room_Type 1,Online,0,0,0,2
INN11624,Room_Type 1,Online,0,0,0,0
INN11625,Room_Type 1,Online,0,0,0,0
INN11626,Room_Type 6,Online,0,0,0,0
INN11627,Room_Type 1,Online,0,0,0,0
INN11628,Room_Type 4,Online,0,0,0,1
INN11629,Room_Type 1,Online,0,0,0,0
INN11630,Room_Type 1,Online,0,0,0,1
INN11631,Room_Type 1,Online,0,0,0,1
INN11632,Room_Type 6,Online,0,0,0,2
INN11633,Room_Type 1,Online,0,0,0,1
INN11634,Room_Type 5,Offline,0,0,0,1
INN11635,Room_Type 1,Online,0,0,0,1
INN11636,Room_Type 1,Offline,0,0,0,0
INN11637,Room_Type 1,Corporate,0,0,0,0
INN11638,Room_Type 1,Online,0,0,0,1
INN11639,Room_Type 1,Online,0,0,0,0
INN11640,Room_Type 1,Offline,0,0,0,0
INN11641,Room_Type 1,Online,0,0,0,0
INN11642,Room_Type 1,Offline,0,0,0,0
INN11643,Room_Type 2,Online,0,0,0,0
INN11644,Room_Type 1,Offline,0,0,0,1
INN11645,Room_Type 1,Online,0,0,0,0
INN11646,Room_Type 1,Online,0,0,0,2
INN11647,Room_Type 1,Offline,0,0,0,0
INN11648,Room_Type 1,Corporate,1,2,18,0
INN11649,Room_Type 6,Online,0,0,0,0
INN11650,Room_Type 2,Online,0,0,0,1
INN11651,Room_Type 1,Online,0,0,0,1
INN11652,Room_Type 1,Online,0,0,0,1
INN11653,Room_Type 1,Corporate,1,0,4,3
INN11654,Room_Type 1,Corporate,0,0,0,1
INN11655,Room_Type 4,Online,0,0,0,1
INN11656,Room_Type 1,Online,0,0,0,0
INN11657,Room_Type 1,Online,0,0,0,2
INN11658,Room_Type 4,Offline,0,0,0,1
INN11659,Room_Type 1,Online,0,0,0,0
INN11660,Room_Type 1,Offline,0,0,0,0
INN11661,Room_Type 1,Corporate,0,0,0,0
INN11662,Room_Type 1,Offline,0,0,0,0
INN11663,Room_Type 1,Online,0,0,0,1
INN11664,Room_Type 1,Offline,0,0,0,0
INN11665,Room_Type 1,Online,0,0,0,1
INN11666,Room_Type 1,Corporate,0,0,0,0
INN11667,Room_Type 1,Offline,0,0,0,0
INN11668,Room_Type 1,Offline,0,0,0,0
INN11669,Room_Type 1,Offline,0,0,0,0
INN11670,Room_Type 4,Offline,0,0,0,0
INN11671,Room_Type 1,Offline,0,0,0,0
INN11672,Room_Type 1,Offline,0,0,0,0
INN11673,Room_Type 1,Offline,0,0,0,0
INN11674,Room_Type 4,Online,0,0,0,1
INN11675,Room_Type 1,Online,0,0,0,0
INN11676,Room_Type 1,Corporate,0,0,0,0
INN11677,Room_Type 4,Online,0,0,0,2
INN11678,Room_Type 1,Offline,0,0,0,0
INN11679,Room_Type 4,Online,0,0,0,1
INN11680,Room_Type 4,Online,0,0,0,1
INN11681,Room_Type 4,Online,0,0,0,2
INN11682,Room_Type 1,Online,0,0,0,2
INN11683,Room_Type 1,Online,0,0,0,0
INN11684,Room_Type 2,Online,0,0,0,1
INN11685,Room_Type 1,Online,0,0,0,0
INN11686,Room_Type 1,Corporate,1,0,2,1
INN11687,Room_Type 4,Online,0,0,0,1
INN11688,Room_Type 1,Online,0,0,0,0
INN11689,Room_Type 4,Online,0,0,0,1
INN11690,Room_Type 1,Offline,0,0,0,1
INN11691,Room_Type 1,Online,0,0,0,0
INN11692,Room_Type 4,Online,0,0,0,0
INN11693,Room_Type 6,Online,0,0,0,2
INN11694,Room_Type 1,Offline,0,0,0,0
INN11695,Room_Type 1,Offline,0,0,0,0
INN11696,Room_Type 1,Offline,0,0,0,0
INN11697,Room_Type 1,Online,0,0,0,1
INN11698,Room_Type 1,Offline,0,0,0,0
INN11699,Room_Type 1,Online,0,0,0,0
INN11700,Room_Type 4,Online,0,0,0,1
INN11701,Room_Type 4,Online,0,0,0,3
INN11702,Room_Type 1,Online,0,0,0,0
INN11703,Room_Type 1,Online,0,0,0,2
INN11704,Room_Type 1,Online,0,0,0,1
INN11705,Room_Type 4,Offline,0,0,0,1
INN11706,Room_Type 1,Offline,0,0,0,3
INN11707,Room_Type 1,Online,0,0,0,1
INN11708,Room_Type 4,Online,0,0,0,0
INN11709,Room_Type 4,Offline,0,0,0,1
INN11710,Room_Type 1,Online,0,0,0,1
INN11711,Room_Type 2,Online,0,0,0,0
INN11712,Room_Type 1,Offline,0,0,0,0
INN11713,Room_Type 1,Offline,0,0,0,0
INN11714,Room_Type 1,Corporate,0,0,0,0
INN11715,Room_Type 1,Complementary,1,0,6,1
INN11716,Room_Type 4,Online,0,0,0,0
INN11717,Room_Type 1,Offline,0,0,0,0
INN11718,Room_Type 1,Offline,0,0,0,0
INN11719,Room_Type 1,Offline,0,0,0,0
INN11720,Room_Type 4,Online,0,0,0,3
INN11721,Room_Type 1,Offline,0,0,0,1
INN11722,Room_Type 1,Online,0,0,0,0
INN11723,Room_Type 4,Online,0,0,0,1
INN11724,Room_Type 4,Offline,0,0,0,0
INN11725,Room_Type 1,Online,0,0,0,0
INN11726,Room_Type 1,Online,0,0,0,1
INN11727,Room_Type 1,Online,0,0,0,0
INN11728,Room_Type 1,Online,0,0,0,0
INN11729,Room_Type 1,Aviation,0,0,0,0
INN11730,Room_Type 1,Online,0,0,0,1
INN11731,Room_Type 1,Online,0,0,0,1
INN11732,Room_Type 1,Offline,0,0,0,0
INN11733,Room_Type 1,Online,0,0,0,1
INN11734,Room_Type 1,Online,0,0,0,0
INN11735,Room_Type 1,Online,0,0,0,2
INN11736,Room_Type 1,Online,0,0,0,1
INN11737,Room_Type 1,Online,0,0,0,1
INN11738,Room_Type 4,Offline,0,0,0,0
INN11739,Room_Type 4,Online,0,0,0,2
INN11740,Room_Type 1,Corporate,0,0,0,1
INN11741,Room_Type 1,Online,0,0,0,2
INN11742,Room_Type 1,Online,0,0,0,1
INN11743,Room_Type 1,Online,0,0,0,0
INN11744,Room_Type 1,Online,0,0,0,0
INN11745,Room_Type 1,Online,0,0,0,0
INN11746,Room_Type 1,Online,0,0,0,1
INN11747,Room_Type 1,Complementary,0,0,0,1
INN11748,Room_Type 6,Online,0,0,0,0
INN11749,Room_Type 1,Offline,0,0,0,0
INN11750,Room_Type 1,Offline,0,0,0,0
INN11751,Room_Type 4,Online,0,0,0,2
INN11752,Room_Type 1,Offline,0,0,0,0
INN11753,Room_Type 1,Online,0,0,0,0
INN11754,Room_Type 1,Online,0,0,0,0
INN11755,Room_Type 4,Online,0,0,0,1
INN11756,Room_Type 1,Offline,0,0,0,0
INN11757,Room_Type 4,Online,0,0,0,1
INN11758,Room_Type 4,Online,0,0,0,0
INN11759,Room_Type 4,Online,0,0,0,0
INN11760,Room_Type 1,Online,0,0,0,1
INN11761,Room_Type 4,Online,0,0,0,0
INN11762,Room_Type 1,Online,0,0,0,1
INN11763,Room_Type 1,Online,0,0,0,0
INN11764,Room_Type 1,Online,0,0,0,0
INN11765,Room_Type 1,Online,0,0,0,1
INN11766,Room_Type 1,Online,0,0,0,1
INN11767,Room_Type 1,Offline,0,0,0,1
INN11768,Room_Type 1,Offline,0,0,0,0
INN11769,Room_Type 1,Offline,0,0,0,0
INN11770,Room_Type 1,Corporate,0,0,0,0
INN11771,Room_Type 1,Online,0,0,0,0
INN11772,Room_Type 4,Online,0,0,0,0
INN11773,Room_Type 1,Online,0,0,0,1
INN11774,Room_Type 1,Offline,0,0,0,0
INN11775,Room_Type 4,Online,0,0,0,0
INN11776,Room_Type 1,Online,0,0,0,0
INN11777,Room_Type 4,Online,0,0,0,1
INN11778,Room_Type 1,Online,0,0,0,0
INN11779,Room_Type 1,Online,0,0,0,0
INN11780,Room_Type 1,Offline,0,0,0,0
INN11781,Room_Type 1,Online,0,0,0,0
INN11782,Room_Type 1,Online,0,0,0,0
INN11783,Room_Type 1,Online,0,0,0,1
INN11784,Room_Type 1,Offline,0,0,0,0
INN11785,Room_Type 1,Online,0,0,0,1
INN11786,Room_Type 1,Online,0,0,0,0
INN11787,Room_Type 1,Offline,0,0,0,0
INN11788,Room_Type 1,Corporate,0,0,0,0
INN11789,Room_Type 1,Offline,0,0,0,0
INN11790,Room_Type 1,Corporate,0,0,0,1
INN11791,Room_Type 1,Offline,0,0,0,0
INN11792,Room_Type 1,Online,0,0,0,0
INN11793,Room_Type 1,Offline,0,0,0,0
INN11794,Room_Type 1,Online,0,0,0,2
INN11795,Room_Type 1,Offline,0,0,0,1
INN11796,Room_Type 4,Online,0,0,0,2
INN11797,Room_Type 1,Offline,0,0,0,0
INN11798,Room_Type 1,Online,0,0,0,1
INN11799,Room_Type 1,Offline,0,0,0,0
INN11800,Room_Type 1,Online,0,0,0,4
INN11801,Room_Type 1,Offline,0,0,0,1
INN11802,Room_Type 4,Online,0,0,0,2
INN11803,Room_Type 1,Offline,0,0,0,0
INN11804,Room_Type 1,Online,0,0,0,1
INN11805,Room_Type 1,Online,0,0,0,1
INN11806,Room_Type 1,Online,0,0,0,1
INN11807,Room_Type 1,Offline,0,0,0,0
INN11808,Room_Type 1,Offline,0,0,0,0
INN11809,Room_Type 1,Corporate,1,1,6,0
INN11810,Room_Type 1,Online,0,0,0,0
INN11811,Room_Type 1,Offline,0,0,0,0
INN11812,Room_Type 1,Online,0,0,0,2
INN11813,Room_Type 1,Online,0,0,0,1
INN11814,Room_Type 1,Offline,0,0,0,1
INN11815,Room_Type 1,Offline,0,0,0,0
INN11816,Room_Type 1,Corporate,0,0,0,0
INN11817,Room_Type 1,Offline,0,0,0,0
INN11818,Room_Type 1,Online,0,0,0,1
INN11819,Room_Type 4,Online,0,0,0,1
INN11820,Room_Type 4,Online,0,0,0,0
INN11821,Room_Type 2,Online,0,0,0,0
INN11822,Room_Type 1,Online,0,0,0,2
INN11823,Room_Type 4,Online,0,0,0,1
INN11824,Room_Type 1,Offline,0,0,0,0
INN11825,Room_Type 1,Online,0,0,0,2
INN11826,Room_Type 1,Online,0,0,0,3
INN11827,Room_Type 1,Online,0,0,0,1
INN11828,Room_Type 1,Offline,0,0,0,0
INN11829,Room_Type 1,Online,0,0,0,1
INN11830,Room_Type 1,Online,0,0,0,2
INN11831,Room_Type 1,Offline,0,0,0,0
INN11832,Room_Type 6,Online,0,0,0,0
INN11833,Room_Type 1,Offline,0,0,0,0
INN11834,Room_Type 6,Online,0,0,0,0
INN11835,Room_Type 1,Online,1,11,0,0
INN11836,Room_Type 1,Online,0,0,0,0
INN11837,Room_Type 1,Online,0,0,0,1
INN11838,Room_Type 1,Online,0,0,0,1
INN11839,Room_Type 1,Online,0,0,0,0
INN11840,Room_Type 1,Corporate,0,0,0,0
INN11841,Room_Type 1,Online,0,0,0,1
INN11842,Room_Type 1,Online,0,0,0,0
INN11843,Room_Type 1,Offline,0,0,0,0
INN11844,Room_Type 1,Offline,0,0,0,0
INN11845,Room_Type 1,Offline,0,0,0,0
INN11846,Room_Type 1,Online,0,0,0,0
INN11847,Room_Type 1,Offline,0,0,0,2
INN11848,Room_Type 1,Offline,0,0,0,0
INN11849,Room_Type 1,Online,0,0,0,1
INN11850,Room_Type 1,Online,0,0,0,0
INN11851,Room_Type 1,Offline,0,0,0,0
INN11852,Room_Type 1,Online,0,0,0,0
INN11853,Room_Type 4,Offline,0,0,0,0
INN11854,Room_Type 1,Offline,0,0,0,0
INN11855,Room_Type 1,Offline,0,0,0,0
INN11856,Room_Type 1,Offline,0,0,0,0
INN11857,Room_Type 1,Offline,0,0,0,0
INN11858,Room_Type 1,Online,0,0,0,1
INN11859,Room_Type 4,Corporate,0,0,0,0
INN11860,Room_Type 1,Offline,0,0,0,0
INN11861,Room_Type 1,Offline,0,0,0,0
INN11862,Room_Type 1,Online,0,0,0,0
INN11863,Room_Type 5,Offline,0,0,0,0
INN11864,Room_Type 1,Online,0,0,0,1
INN11865,Room_Type 1,Online,0,0,0,1
INN11866,Room_Type 1,Online,0,0,0,1
INN11867,Room_Type 1,Online,0,0,0,2
INN11868,Room_Type 1,Online,0,0,0,0
INN11869,Room_Type 1,Online,0,0,0,0
INN11870,Room_Type 1,Online,0,0,0,1
INN11871,Room_Type 1,Offline,0,0,0,0
INN11872,Room_Type 1,Offline,0,0,0,0
INN11873,Room_Type 1,Online,0,0,0,1
INN11874,Room_Type 1,Online,0,0,0,0
INN11875,Room_Type 1,Offline,0,0,0,0
INN11876,Room_Type 4,Online,0,0,0,0
INN11877,Room_Type 2,Online,0,0,0,0
INN11878,Room_Type 1,Offline,0,0,0,0
INN11879,Room_Type 6,Online,0,0,0,1
INN11880,Room_Type 1,Offline,0,0,0,0
INN11881,Room_Type 4,Offline,0,0,0,0
INN11882,Room_Type 1,Online,0,0,0,1
INN11883,Room_Type 1,Aviation,0,0,0,0
INN11884,Room_Type 1,Complementary,0,0,0,0
INN11885,Room_Type 1,Online,0,0,0,0
INN11886,Room_Type 4,Online,0,0,0,2
INN11887,Room_Type 4,Online,0,0,0,2
INN11888,Room_Type 1,Offline,0,0,0,1
INN11889,Room_Type 1,Online,0,0,0,2
INN11890,Room_Type 1,Offline,0,0,0,0
INN11891,Room_Type 1,Corporate,1,0,1,1
INN11892,Room_Type 1,Corporate,0,0,0,1
INN11893,Room_Type 4,Online,0,0,0,2
INN11894,Room_Type 1,Online,0,0,0,0
INN11895,Room_Type 1,Online,0,0,0,1
INN11896,Room_Type 1,Online,0,0,0,2
INN11897,Room_Type 1,Offline,0,0,0,1
INN11898,Room_Type 1,Online,0,0,0,1
INN11899,Room_Type 1,Online,0,0,0,0
INN11900,Room_Type 1,Offline,0,0,0,0
INN11901,Room_Type 1,Online,0,0,0,1
INN11902,Room_Type 4,Online,0,0,0,2
INN11903,Room_Type 4,Online,0,0,0,2
INN11904,Room_Type 4,Online,0,0,0,0
INN11905,Room_Type 4,Online,0,0,0,1
INN11906,Room_Type 1,Corporate,1,0,6,0
INN11907,Room_Type 1,Online,0,0,0,1
INN11908,Room_Type 4,Online,0,0,0,2
INN11909,Room_Type 1,Offline,0,0,0,0
INN11910,Room_Type 1,Online,0,0,0,2
INN11911,Room_Type 1,Corporate,0,0,0,0
INN11912,Room_Type 1,Offline,0,0,0,0
INN11913,Room_Type 1,Offline,0,0,0,0
INN11914,Room_Type 1,Online,0,0,0,2
INN11915,Room_Type 1,Online,0,0,0,1
INN11916,Room_Type 1,Online,0,0,0,1
INN11917,Room_Type 1,Online,0,0,0,1
INN11918,Room_Type 1,Offline,0,0,0,2
INN11919,Room_Type 1,Online,0,0,0,1
INN11920,Room_Type 1,Offline,0,0,0,1
INN11921,Room_Type 1,Offline,0,0,0,0
INN11922,Room_Type 1,Offline,0,0,0,0
INN11923,Room_Type 4,Complementary,0,0,0,1
INN11924,Room_Type 1,Online,0,0,0,1
INN11925,Room_Type 1,Online,0,0,0,1
INN11926,Room_Type 4,Online,0,0,0,2
INN11927,Room_Type 4,Online,0,0,0,0
INN11928,Room_Type 4,Offline,0,0,0,0
INN11929,Room_Type 4,Online,0,0,0,0
INN11930,Room_Type 1,Corporate,1,3,12,0
INN11931,Room_Type 1,Online,0,0,0,1
INN11932,Room_Type 1,Online,0,0,0,1
INN11933,Room_Type 1,Online,0,0,0,0
INN11934,Room_Type 4,Offline,0,0,0,0
INN11935,Room_Type 1,Offline,0,0,0,0
INN11936,Room_Type 1,Online,0,0,0,2
INN11937,Room_Type 1,Online,0,0,0,2
INN11938,Room_Type 1,Online,0,0,0,1
INN11939,Room_Type 4,Online,0,0,0,2
INN11940,Room_Type 1,Online,0,0,0,0
INN11941,Room_Type 1,Online,0,0,0,0
INN11942,Room_Type 1,Offline,0,0,0,0
INN11943,Room_Type 1,Corporate,1,0,1,0
INN11944,Room_Type 1,Corporate,0,0,0,0
INN11945,Room_Type 1,Online,0,0,0,1
INN11946,Room_Type 1,Online,0,0,0,2
INN11947,Room_Type 4,Online,0,0,0,3
INN11948,Room_Type 1,Offline,0,0,0,0
INN11949,Room_Type 1,Offline,0,0,0,0
INN11950,Room_Type 4,Online,0,0,0,1
INN11951,Room_Type 1,Online,0,0,0,1
INN11952,Room_Type 1,Online,0,0,0,0
INN11953,Room_Type 1,Online,0,0,0,0
INN11954,Room_Type 4,Online,0,0,0,1
INN11955,Room_Type 1,Online,0,0,0,1
INN11956,Room_Type 4,Online,0,0,0,2
INN11957,Room_Type 1,Online,0,0,0,1
INN11958,Room_Type 1,Online,0,0,0,1
INN11959,Room_Type 1,Online,0,0,0,0
INN11960,Room_Type 4,Online,0,0,0,0
INN11961,Room_Type 1,Corporate,0,0,0,1
INN11962,Room_Type 1,Online,0,0,0,1
INN11963,Room_Type 1,Online,0,0,0,2
INN11964,Room_Type 1,Corporate,1,0,4,0
INN11965,Room_Type 4,Corporate,0,0,0,0
INN11966,Room_Type 1,Online,0,0,0,2
INN11967,Room_Type 1,Online,0,0,0,1
INN11968,Room_Type 1,Offline,0,0,0,0
INN11969,Room_Type 1,Online,0,0,0,1
INN11970,Room_Type 6,Online,0,0,0,0
INN11971,Room_Type 4,Corporate,0,0,0,0
INN11972,Room_Type 1,Offline,0,0,0,0
INN11973,Room_Type 1,Online,0,0,0,1
INN11974,Room_Type 1,Online,0,0,0,1
INN11975,Room_Type 1,Offline,0,0,0,1
INN11976,Room_Type 1,Online,0,0,0,1
INN11977,Room_Type 4,Online,0,0,0,2
INN11978,Room_Type 1,Offline,0,0,0,0
INN11979,Room_Type 4,Online,0,0,0,1
INN11980,Room_Type 4,Online,0,0,0,0
INN11981,Room_Type 1,Online,0,0,0,0
INN11982,Room_Type 1,Online,0,0,0,1
INN11983,Room_Type 6,Online,0,0,0,1
INN11984,Room_Type 1,Offline,0,0,0,1
INN11985,Room_Type 4,Online,0,0,0,1
INN11986,Room_Type 2,Online,0,0,0,3
INN11987,Room_Type 1,Online,0,0,0,0
INN11988,Room_Type 6,Online,0,0,0,0
INN11989,Room_Type 1,Online,0,0,0,0
INN11990,Room_Type 1,Online,0,0,0,0
INN11991,Room_Type 4,Online,0,0,0,2
INN11992,Room_Type 1,Offline,0,0,0,0
INN11993,Room_Type 1,Online,0,0,0,0
INN11994,Room_Type 1,Offline,0,0,0,0
INN11995,Room_Type 1,Offline,0,0,0,0
INN11996,Room_Type 1,Offline,0,0,0,0
INN11997,Room_Type 4,Online,0,0,0,1
INN11998,Room_Type 1,Online,0,0,0,0
INN11999,Room_Type 1,Offline,0,0,0,1
INN12000,Room_Type 1,Offline,0,0,0,0
INN12001,Room_Type 1,Online,0,0,0,1
INN12002,Room_Type 1,Offline,0,0,0,0
INN12003,Room_Type 1,Online,0,0,0,0
INN12004,Room_Type 1,Offline,0,0,0,0
INN12005,Room_Type 1,Online,0,0,0,1
INN12006,Room_Type 2,Online,0,0,0,0
INN12007,Room_Type 1,Offline,0,0,0,0
INN12008,Room_Type 1,Online,0,0,0,0
INN12009,Room_Type 1,Offline,0,0,0,1
INN12010,Room_Type 1,Offline,0,0,0,0
INN12011,Room_Type 1,Online,0,0,0,0
INN12012,Room_Type 4,Online,0,0,0,2
INN12013,Room_Type 1,Online,0,0,0,0
INN12014,Room_Type 1,Online,0,0,0,0
INN12015,Room_Type 1,Corporate,0,0,0,0
INN12016,Room_Type 4,Online,0,0,0,1
INN12017,Room_Type 1,Offline,0,0,0,0
INN12018,Room_Type 1,Online,0,0,0,1
INN12019,Room_Type 1,Offline,0,0,0,0
INN12020,Room_Type 1,Online,0,0,0,1
INN12021,Room_Type 1,Offline,0,0,0,0
INN12022,Room_Type 1,Online,0,0,0,1
INN12023,Room_Type 1,Online,0,0,0,1
INN12024,Room_Type 4,Online,0,0,0,0
INN12025,Room_Type 1,Online,0,0,0,1
INN12026,Room_Type 1,Online,0,0,0,1
INN12027,Room_Type 1,Offline,0,0,0,0
INN12028,Room_Type 1,Online,0,0,0,1
INN12029,Room_Type 4,Offline,0,0,0,0
INN12030,Room_Type 1,Offline,0,0,0,0
INN12031,Room_Type 1,Online,0,0,0,1
INN12032,Room_Type 1,Online,0,0,0,1
INN12033,Room_Type 4,Online,0,0,0,0
INN12034,Room_Type 1,Offline,0,0,0,0
INN12035,Room_Type 1,Online,0,0,0,1
INN12036,Room_Type 1,Offline,0,0,0,0
INN12037,Room_Type 1,Online,0,0,0,0
INN12038,Room_Type 1,Offline,0,0,0,0
INN12039,Room_Type 1,Offline,0,0,0,0
INN12040,Room_Type 1,Offline,0,0,0,0
INN12041,Room_Type 1,Online,0,0,0,1
INN12042,Room_Type 4,Online,0,0,0,2
INN12043,Room_Type 1,Online,0,0,0,2
INN12044,Room_Type 1,Corporate,0,0,0,0
INN12045,Room_Type 1,Online,0,0,0,1
INN12046,Room_Type 1,Online,0,0,0,0
INN12047,Room_Type 1,Offline,0,0,0,0
INN12048,Room_Type 4,Online,0,0,0,1
INN12049,Room_Type 1,Offline,0,0,0,1
INN12050,Room_Type 4,Online,0,0,0,0
INN12051,Room_Type 1,Online,0,0,0,3
INN12052,Room_Type 4,Online,0,0,0,0
INN12053,Room_Type 1,Corporate,0,0,0,0
INN12054,Room_Type 6,Online,0,0,0,3
INN12055,Room_Type 1,Offline,0,0,0,0
INN12056,Room_Type 1,Offline,0,0,0,0
INN12057,Room_Type 4,Online,0,0,0,2
INN12058,Room_Type 4,Online,0,0,0,0
INN12059,Room_Type 1,Offline,0,0,0,1
INN12060,Room_Type 4,Online,0,0,0,0
INN12061,Room_Type 1,Offline,0,0,0,0
INN12062,Room_Type 1,Online,0,0,0,1
INN12063,Room_Type 1,Offline,0,0,0,0
INN12064,Room_Type 1,Online,0,0,0,1
INN12065,Room_Type 1,Online,0,0,0,0
INN12066,Room_Type 1,Online,0,0,0,2
INN12067,Room_Type 1,Offline,0,0,0,0
INN12068,Room_Type 1,Offline,0,0,0,0
INN12069,Room_Type 1,Offline,0,0,0,0
INN12070,Room_Type 1,Online,0,0,0,2
INN12071,Room_Type 4,Online,0,0,0,1
INN12072,Room_Type 2,Online,0,0,0,1
INN12073,Room_Type 1,Online,0,0,0,1
INN12074,Room_Type 1,Offline,0,0,0,0
INN12075,Room_Type 1,Online,0,0,0,0
INN12076,Room_Type 1,Online,0,0,0,1
INN12077,Room_Type 1,Online,0,0,0,1
INN12078,Room_Type 1,Offline,0,0,0,0
INN12079,Room_Type 4,Online,0,0,0,1
INN12080,Room_Type 1,Online,0,0,0,0
INN12081,Room_Type 1,Offline,0,0,0,0
INN12082,Room_Type 1,Online,0,0,0,1
INN12083,Room_Type 1,Online,0,0,0,0
INN12084,Room_Type 1,Online,0,0,0,1
INN12085,Room_Type 1,Online,0,0,0,0
INN12086,Room_Type 4,Online,0,0,0,2
INN12087,Room_Type 1,Offline,0,0,0,0
INN12088,Room_Type 1,Online,0,0,0,2
INN12089,Room_Type 1,Online,0,0,0,2
INN12090,Room_Type 1,Offline,0,0,0,0
INN12091,Room_Type 1,Online,0,0,0,2
INN12092,Room_Type 1,Online,0,0,0,1
INN12093,Room_Type 1,Offline,0,0,0,0
INN12094,Room_Type 1,Offline,0,0,0,0
INN12095,Room_Type 4,Online,0,0,0,1
INN12096,Room_Type 1,Online,0,0,0,1
INN12097,Room_Type 1,Corporate,0,0,0,0
INN12098,Room_Type 1,Offline,1,13,1,0
INN12099,Room_Type 1,Online,0,0,0,0
INN12100,Room_Type 1,Offline,0,0,0,0
INN12101,Room_Type 1,Online,0,0,0,0
INN12102,Room_Type 1,Online,0,0,0,2
INN12103,Room_Type 4,Aviation,0,0,0,0
INN12104,Room_Type 2,Online,0,0,0,1
INN12105,Room_Type 1,Online,0,0,0,1
INN12106,Room_Type 4,Aviation,0,0,0,0
INN12107,Room_Type 6,Online,0,0,0,0
INN12108,Room_Type 1,Offline,0,0,0,2
INN12109,Room_Type 1,Offline,0,0,0,0
INN12110,Room_Type 1,Offline,1,13,1,0
INN12111,Room_Type 1,Online,0,0,0,1
INN12112,Room_Type 1,Online,0,0,0,1
INN12113,Room_Type 1,Offline,0,0,0,0
INN12114,Room_Type 4,Online,0,0,0,1
INN12115,Room_Type 1,Offline,0,0,0,0
INN12116,Room_Type 4,Online,0,0,0,1
INN12117,Room_Type 1,Online,0,0,0,0
INN12118,Room_Type 1,Online,0,0,0,0
INN12119,Room_Type 4,Online,0,0,0,2
INN12120,Room_Type 1,Offline,0,0,0,0
INN12121,Room_Type 1,Offline,0,0,0,0
INN12122,Room_Type 1,Offline,0,0,0,0
INN12123,Room_Type 4,Offline,0,0,0,0
INN12124,Room_Type 4,Online,0,0,0,1
INN12125,Room_Type 1,Online,0,0,0,0
INN12126,Room_Type 1,Online,0,0,0,1
INN12127,Room_Type 1,Online,0,0,0,0
INN12128,Room_Type 1,Offline,0,0,0,0
INN12129,Room_Type 1,Offline,0,0,0,0
INN12130,Room_Type 4,Online,0,0,0,0
INN12131,Room_Type 4,Online,0,0,0,1
INN12132,Room_Type 1,Offline,0,0,0,1
INN12133,Room_Type 1,Online,0,0,0,1
INN12134,Room_Type 1,Online,0,0,0,3
INN12135,Room_Type 1,Online,0,0,0,0
INN12136,Room_Type 1,Online,0,0,0,2
INN12137,Room_Type 1,Online,0,0,0,2
INN12138,Room_Type 1,Online,0,0,0,1
INN12139,Room_Type 1,Offline,0,0,0,0
INN12140,Room_Type 1,Online,0,0,0,2
INN12141,Room_Type 1,Offline,0,0,0,0
INN12142,Room_Type 1,Online,0,0,0,0
INN12143,Room_Type 1,Online,0,0,0,1
INN12144,Room_Type 4,Online,0,0,0,2
INN12145,Room_Type 4,Online,0,0,0,2
INN12146,Room_Type 1,Online,0,0,0,0
INN12147,Room_Type 6,Online,0,0,0,2
INN12148,Room_Type 1,Offline,0,0,0,0
INN12149,Room_Type 1,Online,0,0,0,1
INN12150,Room_Type 1,Online,0,0,0,0
INN12151,Room_Type 1,Offline,0,0,0,0
INN12152,Room_Type 1,Corporate,0,0,0,0
INN12153,Room_Type 4,Online,0,0,0,0
INN12154,Room_Type 1,Offline,0,0,0,0
INN12155,Room_Type 1,Online,0,0,0,1
INN12156,Room_Type 1,Online,0,0,0,2
INN12157,Room_Type 4,Online,0,0,0,1
INN12158,Room_Type 1,Online,0,0,0,1
INN12159,Room_Type 1,Online,0,0,0,2
INN12160,Room_Type 4,Online,0,0,0,3
INN12161,Room_Type 1,Offline,0,0,0,0
INN12162,Room_Type 1,Online,0,0,0,0
INN12163,Room_Type 4,Online,0,0,0,0
INN12164,Room_Type 1,Online,0,0,0,0
INN12165,Room_Type 1,Online,0,0,0,0
INN12166,Room_Type 1,Corporate,0,0,0,0
INN12167,Room_Type 1,Online,0,0,0,0
INN12168,Room_Type 1,Online,0,0,0,2
INN12169,Room_Type 1,Offline,0,0,0,0
INN12170,Room_Type 6,Online,0,0,0,2
INN12171,Room_Type 1,Online,0,0,0,0
INN12172,Room_Type 4,Offline,0,0,0,1
INN12173,Room_Type 6,Online,0,0,0,0
INN12174,Room_Type 6,Online,0,0,0,1
INN12175,Room_Type 1,Online,0,0,0,2
INN12176,Room_Type 4,Aviation,1,0,1,0
INN12177,Room_Type 1,Corporate,0,0,0,0
INN12178,Room_Type 1,Online,0,0,0,1
INN12179,Room_Type 1,Offline,0,0,0,0
INN12180,Room_Type 1,Online,0,0,0,0
INN12181,Room_Type 1,Corporate,1,0,2,0
INN12182,Room_Type 1,Online,0,0,0,2
INN12183,Room_Type 1,Offline,0,0,0,0
INN12184,Room_Type 1,Online,0,0,0,2
INN12185,Room_Type 1,Offline,0,0,0,0
INN12186,Room_Type 1,Online,0,0,0,1
INN12187,Room_Type 6,Online,0,0,0,2
INN12188,Room_Type 1,Offline,0,0,0,0
INN12189,Room_Type 1,Offline,0,0,0,0
INN12190,Room_Type 1,Offline,0,0,0,0
INN12191,Room_Type 5,Offline,0,0,0,0
